,FTHG,FTAG,B365H,B365A,BWH,BWA,IWH,IWA,LBH,LBA,WHH,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbMxA,BbAvA,BbOU,BbAvAHH,BbMxAHA,Season,DayOfWeek,FTR
0,1.0,1.0,1.73,4.75,1.57,5.25,1.7,4.0,1.73,4.0,1.7,4.5,1.67,3.4,4.6,20.0,1.75,1.69,3.7,5.25,4.68,19.0,1.27,3.8,2010.0,4.0,D
1,4.0,1.0,1.2,10.0,1.2,11.0,1.2,10.0,1.17,12.0,1.17,13.0,1.17,5.5,13.0,21.0,1.21,1.19,6.5,15.0,12.2,12.0,1.03,11.48,2010.0,5.0,H
2,1.0,0.0,3.75,1.91,3.75,1.87,3.3,1.9,3.2,2.0,3.5,2.0,3.6,3.3,1.83,22.0,3.85,3.53,3.45,2.05,1.95,17.0,2.62,1.5,2010.0,5.0,H
3,2.0,0.0,1.91,3.8,1.88,3.5,1.75,3.9,1.8,3.75,2.0,3.5,1.85,3.2,3.6,22.0,2.04,1.92,3.5,4.0,3.68,19.0,2.02,1.88,2010.0,5.0,H
4,1.0,0.0,2.1,3.2,2.1,3.0,2.0,3.1,1.91,3.4,2.0,3.4,2.1,3.12,3.1,22.0,2.26,2.11,3.4,3.4,3.19,19.0,1.56,2.5,2010.0,5.0,H
5,0.0,1.0,2.9,2.3,3.2,2.1,2.8,2.2,3.0,2.1,3.0,2.2,2.88,3.12,2.2,21.0,3.3,3.01,3.3,2.4,2.22,19.0,2.2,1.75,2010.0,5.0,A
6,1.0,1.0,1.8,4.0,1.8,3.9,1.75,3.8,1.73,4.0,1.75,4.33,1.83,3.3,3.8,20.0,1.9,1.8,3.5,4.5,4.12,18.0,1.85,2.03,2010.0,6.0,D
7,2.0,1.0,1.91,3.75,1.91,3.7,1.9,3.4,1.91,3.5,1.83,4.0,1.8,3.3,3.8,20.0,2.0,1.92,3.35,4.0,3.7,18.0,1.94,1.97,2010.0,6.0,H
8,1.0,0.0,2.15,3.6,2.1,3.4,2.1,3.4,2.1,3.2,2.1,3.4,2.0,3.1,3.5,14.0,2.25,2.1,3.1,3.9,3.57,8.0,1.48,2.65,2010.0,4.0,H
9,1.0,1.0,2.0,4.0,1.85,4.0,2.0,3.6,1.83,3.75,1.91,3.75,1.95,3.0,3.75,13.0,2.1,2.01,3.1,4.0,3.74,7.0,2.05,1.82,2010.0,4.0,D
10,0.0,0.0,2.0,4.0,1.9,3.85,2.0,3.6,1.91,3.75,1.91,4.0,1.91,3.1,3.8,13.0,2.08,1.96,3.1,4.2,3.95,7.0,2.03,1.85,2010.0,4.0,D
11,1.0,1.0,2.4,3.1,2.45,2.7,2.3,3.0,2.5,2.75,2.5,2.75,2.38,2.88,2.88,14.0,2.5,2.37,3.05,3.3,3.02,8.0,1.63,2.35,2010.0,4.0,D
12,1.0,0.0,2.1,3.75,2.05,3.4,2.1,3.3,2.0,3.4,2.05,3.5,2.05,3.0,3.5,13.0,2.28,2.08,3.1,3.8,3.6,7.0,1.43,2.63,2010.0,4.0,H
13,0.0,2.0,1.8,4.75,1.72,4.7,1.75,4.5,1.62,5.0,1.73,4.5,1.8,3.12,4.4,8.0,2.13,2.02,3.2,4.0,3.85,6.0,2.08,1.8,2010.0,4.0,A
14,0.0,0.0,4.75,1.73,4.7,1.65,3.6,1.8,4.33,1.67,4.5,1.7,4.75,3.5,1.67,31.0,5.0,4.47,3.68,1.86,1.75,23.0,2.05,1.86,2010.0,4.0,D
15,0.0,0.0,2.2,3.6,2.15,3.3,2.2,3.2,2.2,3.2,2.2,3.25,2.1,3.0,3.3,14.0,2.3,2.22,3.0,3.6,3.29,8.0,1.58,2.33,2010.0,4.0,D
16,4.0,3.0,2.15,3.6,2.1,3.4,2.25,3.1,2.0,3.4,2.15,3.4,2.1,3.0,3.3,14.0,2.4,2.24,3.1,3.5,3.24,8.0,1.59,2.5,2010.0,4.0,H
17,1.0,0.0,2.15,3.6,2.05,3.4,2.1,3.4,2.0,3.4,2.05,3.5,2.1,3.0,3.4,14.0,2.28,2.12,3.1,3.7,3.5,8.0,1.51,2.5,2010.0,4.0,H
18,1.0,4.0,3.1,2.3,3.0,2.2,2.7,2.3,3.4,1.91,3.2,2.1,3.0,3.0,2.2,28.0,3.2,3.0,3.4,2.41,2.25,24.0,2.16,1.75,2010.0,4.0,A
19,2.0,3.0,1.83,4.33,1.85,3.75,1.85,3.5,1.8,4.5,1.8,4.5,1.83,3.5,4.33,38.0,1.98,1.85,3.58,4.5,4.18,36.0,1.34,3.25,2010.0,4.0,A
20,1.0,2.0,2.0,3.8,2.05,3.15,2.0,3.1,2.0,3.75,1.95,3.3,2.1,3.3,3.6,36.0,2.15,2.02,3.4,4.0,3.6,27.0,1.46,2.75,2010.0,5.0,A
21,1.0,0.0,1.83,4.0,1.8,3.55,1.75,3.7,1.8,4.0,1.67,4.0,1.8,3.6,3.8,20.0,1.85,1.79,3.75,4.0,3.68,8.0,1.36,3.0,2010.0,5.0,H
22,2.0,0.0,1.62,6.0,1.65,5.55,1.6,5.0,1.57,5.5,1.55,6.0,1.62,3.4,5.5,28.0,1.71,1.64,3.61,6.0,5.55,19.0,1.86,2.0,2010.0,5.0,H
23,2.0,1.0,1.8,5.0,1.7,5.15,1.7,4.5,1.62,5.0,1.67,5.0,1.73,3.25,4.75,28.0,1.82,1.73,3.46,5.6,4.96,19.0,1.98,1.88,2010.0,5.0,H
24,1.0,1.0,2.4,3.1,2.35,2.9,2.5,2.7,2.38,2.75,2.5,2.75,2.38,3.0,2.88,28.0,2.59,2.44,3.18,3.1,2.93,20.0,1.71,2.16,2010.0,5.0,D
25,3.0,1.0,1.73,5.25,1.65,5.35,1.65,4.8,1.62,5.0,1.57,6.0,1.67,3.2,5.5,27.0,1.75,1.68,3.56,6.25,5.26,19.0,1.89,1.97,2010.0,5.0,H
26,0.0,0.0,2.1,3.75,2.05,3.6,2.1,3.3,2.0,3.4,2.1,3.4,2.0,3.0,3.75,28.0,2.17,2.07,3.21,3.98,3.67,20.0,1.44,2.75,2010.0,5.0,D
27,1.0,2.0,1.25,12.0,1.25,9.0,1.25,10.0,1.2,11.0,1.2,11.0,1.22,5.5,11.0,28.0,1.31,1.24,6.0,14.0,11.0,23.0,2.18,1.76,2010.0,5.0,A
28,1.0,2.0,2.1,3.8,2.05,3.7,2.1,3.3,2.0,3.5,2.0,3.75,1.95,3.0,3.8,28.0,2.11,2.03,3.25,4.08,3.75,18.0,1.42,2.85,2010.0,5.0,A
29,2.0,0.0,2.25,3.25,2.3,2.75,2.2,2.8,2.25,3.1,2.1,3.0,2.25,3.2,3.3,35.0,2.33,2.25,3.35,3.45,3.04,25.0,1.62,2.35,2010.0,5.0,H
30,2.0,2.0,1.91,4.2,1.85,4.6,1.8,4.3,1.8,4.0,1.8,4.5,1.85,3.12,4.2,28.0,1.93,1.85,3.4,4.85,4.33,19.0,1.83,2.03,2010.0,5.0,D
31,1.0,0.0,2.25,3.2,2.25,2.85,2.2,2.8,2.25,3.1,2.1,3.0,2.25,3.3,3.2,36.0,2.3,2.21,3.32,3.45,3.15,28.0,1.59,2.42,2010.0,5.0,H
32,0.0,3.0,1.91,4.0,1.85,3.8,1.85,3.5,1.91,4.0,1.83,3.6,1.95,3.3,4.0,36.0,2.0,1.89,3.5,4.5,3.98,31.0,1.37,3.0,2010.0,5.0,A
33,4.0,0.0,2.3,2.9,2.2,2.7,2.3,2.5,2.3,2.62,2.3,2.5,2.25,3.4,2.75,20.0,2.3,2.23,3.55,2.9,2.69,8.0,1.67,2.1,2010.0,5.0,H
